fromid,toid,dist
120000,510100,1836.72
120000,510300,1927.31
120000,510400,2436.64
120000,510500,1991.53
120000,510600,1748.98
120000,510700,1685.02
120000,510800,1571.84
120000,510900,1739.52
120000,511000,1885.93
120000,511100,2036.83
120000,511300,1638.74
120000,511400,1931.94
120000,511500,2019.34
120000,511600,1717.72
120000,511700,1543.04
120000,511800,2016.72
120000,511900,1568.78
120000,512000,1838.08
120000,520100,2095.68
120000,520200,2369.16
120000,520300,1978.76
120000,520400,2222.45
120000,530100,2552.22
120000,530300,2441.59
120000,530400,2717.17
120000,530500,2934.55
120000,530600,2176.9
120000,530700,2614.58
120000,530800,3001.38
120000,530900,2959.82
120000,540100,3573.66
120000,610100,1137.36
120000,610200,1047.08
120000,610300,1262.12
120000,610400,1177.21
120000,610500,988.64
120000,610600,998.14
120000,610700,1365.34
120000,610800,849.37
120000,610900,1299.04
120000,611000,1184.67
120000,620100,1503.27
120000,620200,2026.18
120000,620300,1647.79
120000,620400,1392.4
120000,620500,1433.88
120000,620600,1552.04
120000,620700,1858.94
120000,620800,1359.67
120000,620900,2230.49
120000,621000,1180.44
120000,621100,1599.61
120000,621200,1517.15
120000,630100,1735.53
120000,640100,1195.14
120000,640200,1078.74
120000,640300,1156.06
120000,640400,1399.86
120000,650100,2950.15
120000,650200,3238.77
130100,110000,342.55
130100,120000,318.76
130100,130100,0.0
130100,130200,451.22
130100,130300,534.01
130100,130400,192.88
130100,130500,144.12
130100,130600,148.46
130100,130700,390.8
130100,130800,599.96
130100,130900,221.84
130100,131000,265.9
130100,131100,153.05
130100,140100,254.39
130100,140200,328.49
130100,140300,111.77
130100,140400,324.42
130100,140500,422.82
130100,140600,372.92
130100,140700,269.08
130100,140800,565.05
130100,140900,292.0
130100,141000,448.83
130100,141100,372.18
130100,150100,583.94
130100,150200,758.92
130100,150300,822.45
130100,150400,868.02
130100,150500,1059.74
130100,150600,689.96
130100,150700,1820.09
130100,150800,1001.03
130100,150900,593.07
130100,210100,972.37
130100,210200,1041.67
130100,210300,924.02
130100,210400,1083.83
130100,210500,1083.42
130100,210600,1125.33
130100,210700,814.6
130100,210800,934.89
130100,210900,910.98
130100,211000,942.25
130100,211100,824.29
130100,211200,1072.78
130100,211300,765.4
130100,211400,677.97
130100,220100,1311.14
130100,220200,1410.27
130100,220300,1197.35
130100,220400,1183.91
130100,220500,1236.63
130100,220600,1368.96
130100,220700,1310.84
130100,220800,1368.68
130100,230100,1616.56
130100,230200,1693.96
130100,230300,1989.21
130100,230400,1976.41
130100,230500,2065.48
130100,230600,1510.66
130100,230700,1878.78
130100,230800,2033.75
130100,230900,1910.52
130100,231000,1720.46
130100,231100,1998.28
130100,231200,1653.19
130100,310000,1139.51
130100,320100,928.16
130100,320200,1008.17
130100,320300,586.92
130100,320400,1009.65
130100,320500,1058.64
130100,320600,1018.23
130100,320700,681.88
130100,320800,784.73
130100,320900,840.75
130100,321000,849.39
130100,321100,953.52
130100,321200,928.36
130100,321300,711.93
130100,330100,1191.89
130100,330200,1279.74
130100,330300,1530.4
130100,330400,1143.5
130100,330500,1128.39
130100,330600,1259.76
130100,330700,1347.24
130100,330800,1264.98
130100,330900,1313.77
130100,331000,1384.81
130100,331100,1475.48
130100,340100,894.22
130100,340200,990.94
130100,340300,746.38
130100,340400,784.07
130100,340500,939.63
130100,340600,657.82
130100,340700,1001.8
130100,340800,973.32
130100,341000,1140.33
130100,341100,824.2
130100,341200,693.44
130100,341300,633.75
130100,341500,832.54
130100,341600,647.61
130100,341700,1048.17
130100,341800,1092.44
130100,350100,1689.24
130100,350200,1819.9
130100,350300,1768.52
130100,350400,1595.09
130100,350500,1765.42
130100,350600,1883.07
130100,350700,1480.04
130100,350800,1709.09
130100,350900,1611.05
130100,360100,1245.67
130100,360200,1161.06
130100,360300,1348.31
130100,360400,1136.69
130100,360500,1293.46
130100,360600,1307.02
130100,360700,1587.97
130100,360800,1389.99
130100,360900,1245.73
130100,361000,1436.65
130100,361100,1243.5
130100,370100,346.45
130100,370200,609.09
130100,370300,415.59
130100,370400,523.38
130100,370500,426.09
130100,370600,678.64
